Region,Date,Unemployment_Rate
Andhra Pradesh,2020-06-30,5.86
Assam,2019-05-31,7.87
Assam,2019-06-30,9.89
Assam,2019-07-31,3.21
Assam,2019-08-31,10.39
Assam,2019-09-30,9.26
Assam,2019-10-31,11.17
Assam,2019-11-30,6.31
Assam,2019-12-31,5.02
Assam,2020-01-31,7.24
Assam,2020-02-29,9.98
Assam,2020-03-31,10.34
Assam,2020-04-30,8.37
Assam,2020-05-31,10.77
Assam,2020-06-30,3.42
Bihar,2019-05-31,19.9
Bihar,2019-06-30,13.29
Bihar,2019-07-31,16.41
Bihar,2019-08-31,17.66
Bihar,2019-09-30,20.46
Bihar,2019-10-31,14.06
Bihar,2019-11-30,17.62
Bihar,2019-12-31,14.91
Bihar,2020-01-31,20.69
Bihar,2020-02-29,15.11
Bihar,2020-03-31,15.73
Bihar,2020-04-30,58.77
Bihar,2020-05-31,37.87
Bihar,2020-06-30,12.45
Chandigarh,2019-05-31,18.35
Chandigarh,2019-06-30,12.4
Chandigarh,2019-07-31,21.8
Chandigarh,2019-08-31,9.52
Chandigarh,2019-09-30,20.14
Chandigarh,2019-10-31,13.99
Chandigarh,2019-11-30,22.05
Chandigarh,2019-12-31,8.33
Chandigarh,2020-01-31,20.0
Chandigarh,2020-02-29,16.67
Chandigarh,2020-03-31,21.43
Chandigarh,2020-06-30,7.22
Chhattisgarh,2019-05-31,9.77
Chhattisgarh,2019-06-30,11.77
Chhattisgarh,2019-07-31,8.17
Chhattisgarh,2019-08-31,6.29
Chhattisgarh,2019-09-30,9.46
Chhattisgarh,2019-10-31,10.27
Chhattisgarh,2019-11-30,8.32
Chhattisgarh,2019-12-31,3.57
Chhattisgarh,2020-01-31,9.01
Chhattisgarh,2020-02-29,9.79
Chhattisgarh,2020-03-31,8.21
Chhattisgarh,2020-04-30,20.13
Chhattisgarh,2020-05-31,24.1
Chhattisgarh,2020-06-30,27.07
Delhi,2019-05-31,12.31
Delhi,2019-06-30,12.76
Delhi,2019-07-31,14.68
Delhi,2019-08-31,13.52
Delhi,2019-09-30,20.59
Delhi,2019-10-31,12.41
Delhi,2019-11-30,16.11
Delhi,2019-12-31,11.07
Delhi,2020-01-31,22.45
Delhi,2020-02-29,14.86
Delhi,2020-03-31,17.09
Delhi,2020-04-30,16.51
Delhi,2020-05-31,45.78
Delhi,2020-06-30,18.11
Goa,2019-05-31,2.75
Goa,2019-06-30,13.33
Goa,2019-07-31,12.28
